danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artists
0.704,0.568,9,-9.245,1,0.268,0.45,2.53e-06,0.0891,0.495,91.007,audio_features,003Tf4XVKCg6tFSv7JKgfz,spotify:track:003Tf4XVKCg6tFSv7JKgfz,https://api.spotify.com/v1/tracks/003Tf4XVKCg6tFSv7JKgfz,https://api.spotify.com/v1/audio-analysis/003Tf4XVKCg6tFSv7JKgfz,207205,4,Ulisse,Claver Gold;Murubutu
0.842,0.578,6,-6.05,0,0.138,0.00419,0,0.228,0.19,74.496,audio_features,003VDDA7J3Xb2ZFlNx7nIZ,spotify:track:003VDDA7J3Xb2ZFlNx7nIZ,https://api.spotify.com/v1/tracks/003VDDA7J3Xb2ZFlNx7nIZ,https://api.spotify.com/v1/audio-analysis/003VDDA7J3Xb2ZFlNx7nIZ,236779,4,YELL OH,Trippie Redd;Young Thug
0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,audio_features,003vvx7Niy0yvhvHt4a68B,spotify:track:003vvx7Niy0yvhvHt4a68B,https://api.spotify.com/v1/tracks/003vvx7Niy0yvhvHt4a68B,https://api.spotify.com/v1/audio-analysis/003vvx7Niy0yvhvHt4a68B,222973,4,Mr. Brightside,The Killers
0.73,0.696,2,-7.173,1,0.355,0.175,2.04e-05,0.321,0.584,172.04,audio_features,004zGvrc84enQHFitC6auy,spotify:track:004zGvrc84enQHFitC6auy,https://api.spotify.com/v1/tracks/004zGvrc84enQHFitC6auy,https://api.spotify.com/v1/audio-analysis/004zGvrc84enQHFitC6auy,184186,4,Mercy On Me (In Sbatti),Guè Pequeno
0.682,0.741,0,-6.31,1,0.0421,0.00122,7.66e-05,0.266,0.15,120.002,audio_features,00C3ZQ1QnyhVhGKZgsfc6a,spotify:track:00C3ZQ1QnyhVhGKZgsfc6a,https://api.spotify.com/v1/tracks/00C3ZQ1QnyhVhGKZgsfc6a,https://api.spotify.com/v1/audio-analysis/00C3ZQ1QnyhVhGKZgsfc6a,187125,4,Ho Guardato Un'Altra,Mecna
0.681,0.773,5,-5.749,1,0.148,0.019,1.28e-06,0.11,0.429,119.961,audio_features,00ETaeHUQ6lops3oWU1Wrt,spotify:track:00ETaeHUQ6lops3oWU1Wrt,https://api.spotify.com/v1/tracks/00ETaeHUQ6lops3oWU1Wrt,https://api.spotify.com/v1/audio-analysis/00ETaeHUQ6lops3oWU1Wrt,199008,4,Hot Stuff,Kygo;Donna Summer
0.754,0.725,8,-6.058,1,0.0661,0.0104,0,0.192,0.271,120.002,audio_features,00GxbkrW4m1Tac5xySEJ4M,spotify:track:00GxbkrW4m1Tac5xySEJ4M,https://api.spotify.com/v1/tracks/00GxbkrW4m1Tac5xySEJ4M,https://api.spotify.com/v1/audio-analysis/00GxbkrW4m1Tac5xySEJ4M,208133,4,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt;J-AX;Boomdabash
0.7,0.864,11,-3.939,0,0.043,0.0754,0,0.211,0.39,125.005,audio_features,00JISwCHE4ZTWejgmT4TFU,spotify:track:00JISwCHE4ZTWejgmT4TFU,https://api.spotify.com/v1/tracks/00JISwCHE4ZTWejgmT4TFU,https://api.spotify.com/v1/audio-analysis/00JISwCHE4ZTWejgmT4TFU,225327,4,Nell'estasi o nel fango,Michele Zarrillo
0.85,0.812,11,-4.681,1,0.105,0.243,0.192,0.143,0.987,98.934,audio_features,00Ofzws5ktSOc6RgLCuWs1,spotify:track:00Ofzws5ktSOc6RgLCuWs1,https://api.spotify.com/v1/tracks/00Ofzws5ktSOc6RgLCuWs1,https://api.spotify.com/v1/audio-analysis/00Ofzws5ktSOc6RgLCuWs1,189372,3,Hace un Mes,Los Corraleros De Majagual;Julio Erazo
0.731,0.871,8,-2.992,1,0.0577,0.295,8.34e-06,0.138,0.804,101.981,audio_features,00PFkUKkfBQDdZreNj7bXW,spotify:track:00PFkUKkfBQDdZreNj7bXW,https://api.spotify.com/v1/tracks/00PFkUKkfBQDdZreNj7bXW,https://api.spotify.com/v1/audio-analysis/00PFkUKkfBQDdZreNj7bXW,223878,4,Me Vas a Extrañar,Ojos de Luna
