danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artists
0.764,0.425,3,-8.394,0,0.0984,0.169,0,0.0647,0.965,84.927,audio_features,00fuxcwUgNfmoqBeP63MN7,spotify:track:00fuxcwUgNfmoqBeP63MN7,https://api.spotify.com/v1/tracks/00fuxcwUgNfmoqBeP63MN7,https://api.spotify.com/v1/audio-analysis/00fuxcwUgNfmoqBeP63MN7,114382,4,El Cielo a un Diablo,The La Planta;Pushi
0.729,0.54,7,-6.629,0,0.289,0.235,4.32e-05,0.334,0.631,80.943,audio_features,01UQtSmwS81vFhFIYssL3X,spotify:track:01UQtSmwS81vFhFIYssL3X,https://api.spotify.com/v1/tracks/01UQtSmwS81vFhFIYssL3X,https://api.spotify.com/v1/audio-analysis/01UQtSmwS81vFhFIYssL3X,231111,4,THROW UP SESSION #3,Acru
0.531,0.582,0,-9.082,0,0.151,0.377,0,0.115,0.799,147.688,audio_features,029AjreWZkfhdUn1bruyrG,spotify:track:029AjreWZkfhdUn1bruyrG,https://api.spotify.com/v1/tracks/029AjreWZkfhdUn1bruyrG,https://api.spotify.com/v1/audio-analysis/029AjreWZkfhdUn1bruyrG,175694,3,Una Locura - Remix,Bebe DJ;Maxi Jayat
0.86,0.567,0,-9.024,0,0.0816,0.488,0,0.0428,0.904,98.33,audio_features,03G43mO3a34IGIsyDd4sj5,spotify:track:03G43mO3a34IGIsyDd4sj5,https://api.spotify.com/v1/tracks/03G43mO3a34IGIsyDd4sj5,https://api.spotify.com/v1/audio-analysis/03G43mO3a34IGIsyDd4sj5,189107,4,La Pollera Amarilla,"Gladys ""La bomba tucumana"""
0.698,0.829,2,-6.167,1,0.0358,0.195,0,0.308,0.933,141.931,audio_features,03wQrSM0nV1WyPIgWvapG4,spotify:track:03wQrSM0nV1WyPIgWvapG4,https://api.spotify.com/v1/tracks/03wQrSM0nV1WyPIgWvapG4,https://api.spotify.com/v1/audio-analysis/03wQrSM0nV1WyPIgWvapG4,174869,4,Cuando Me Enamoro,Banda XXI
0.614,0.71,2,-5.638,1,0.0319,0.231,0,0.13,0.62,92.053,audio_features,06JpmZhd76BpCngRKdVfwE,spotify:track:06JpmZhd76BpCngRKdVfwE,https://api.spotify.com/v1/tracks/06JpmZhd76BpCngRKdVfwE,https://api.spotify.com/v1/audio-analysis/06JpmZhd76BpCngRKdVfwE,197800,4,Y La Hice Llorar,Los Ángeles Azules;Abel Pintos
0.844,0.812,7,-7.55,1,0.0417,0.412,0.000821,0.171,0.433,110.024,audio_features,074rCBnmb4MlfA7OoQrAcx,spotify:track:074rCBnmb4MlfA7OoQrAcx,https://api.spotify.com/v1/tracks/074rCBnmb4MlfA7OoQrAcx,https://api.spotify.com/v1/audio-analysis/074rCBnmb4MlfA7OoQrAcx,213818,4,Mente Gitana,Rei
0.742,0.831,4,-2.068,1,0.425,0.0964,0,0.081,0.967,92.976,audio_features,09ZM0SFVkQauSIR5I3aj0g,spotify:track:09ZM0SFVkQauSIR5I3aj0g,https://api.spotify.com/v1/tracks/09ZM0SFVkQauSIR5I3aj0g,https://api.spotify.com/v1/audio-analysis/09ZM0SFVkQauSIR5I3aj0g,158124,4,CONVOY JARANA,WOS
0.634,0.708,2,-4.602,1,0.036,0.714,0,0.206,0.744,132.029,audio_features,0AUZfccA1esccgxc9W61Y9,spotify:track:0AUZfccA1esccgxc9W61Y9,https://api.spotify.com/v1/tracks/0AUZfccA1esccgxc9W61Y9,https://api.spotify.com/v1/audio-analysis/0AUZfccA1esccgxc9W61Y9,304358,4,Olvídala,Los Palmeras;Axel
0.604,0.161,4,-8.371,0,0.104,0.772,0,0.0677,0.39,153.954,audio_features,0BNtpLD6zsXJGroRtcixOE,spotify:track:0BNtpLD6zsXJGroRtcixOE,https://api.spotify.com/v1/tracks/0BNtpLD6zsXJGroRtcixOE,https://api.spotify.com/v1/audio-analysis/0BNtpLD6zsXJGroRtcixOE,193247,3,Años Luz,Nicki Nicole
