danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artists
0.612,0.947,8,-3.604,0,0.251,0.175,0.0107,0.0906,0.12,130.046,audio_features,01ZxfUPtx6CwKV7t9TVxwD,spotify:track:01ZxfUPtx6CwKV7t9TVxwD,https://api.spotify.com/v1/tracks/01ZxfUPtx6CwKV7t9TVxwD,https://api.spotify.com/v1/audio-analysis/01ZxfUPtx6CwKV7t9TVxwD,219135,4,Patrão,Deejay Telio;Ambush Buzzworl;KROA;Deedz B
0.687,0.418,7,-10.359,1,0.0637,0.448,0,0.0973,0.619,90.084,audio_features,03bCfdHWyj6Eolr5DwhVd0,spotify:track:03bCfdHWyj6Eolr5DwhVd0,https://api.spotify.com/v1/tracks/03bCfdHWyj6Eolr5DwhVd0,https://api.spotify.com/v1/audio-analysis/03bCfdHWyj6Eolr5DwhVd0,196000,4,Nada É Para Sempre,Diogo Piçarra;Vitor Kley
0.668,0.621,1,-8.717,1,0.486,0.218,0,0.0904,0.499,99.145,audio_features,03pHHhT3OtZJFXAe8WCorq,spotify:track:03pHHhT3OtZJFXAe8WCorq,https://api.spotify.com/v1/tracks/03pHHhT3OtZJFXAe8WCorq,https://api.spotify.com/v1/audio-analysis/03pHHhT3OtZJFXAe8WCorq,210634,5,Wappa / Frozen,9 Miller;Mizzy Miles
0.617,0.684,0,-3.618,1,0.0439,0.0545,0,0.104,0.295,132.113,audio_features,05mDaV9Vb3wrzjF6OPZnhq,spotify:track:05mDaV9Vb3wrzjF6OPZnhq,https://api.spotify.com/v1/tracks/05mDaV9Vb3wrzjF6OPZnhq,https://api.spotify.com/v1/audio-analysis/05mDaV9Vb3wrzjF6OPZnhq,150867,4,Saint-Tropez,Post Malone
0.852,0.441,2,-11.949,0,0.0663,0.524,0.000266,0.0729,0.83,133.072,audio_features,05vnos9Hfj27gKeReNWDNF,spotify:track:05vnos9Hfj27gKeReNWDNF,https://api.spotify.com/v1/tracks/05vnos9Hfj27gKeReNWDNF,https://api.spotify.com/v1/audio-analysis/05vnos9Hfj27gKeReNWDNF,144982,4,Break It,mishlawi
0.756,0.557,8,-7.493,1,0.246,0.383,0,0.117,0.27,139.942,audio_features,06YKCirt0RfP49rs6qB9sk,spotify:track:06YKCirt0RfP49rs6qB9sk,https://api.spotify.com/v1/tracks/06YKCirt0RfP49rs6qB9sk,https://api.spotify.com/v1/audio-analysis/06YKCirt0RfP49rs6qB9sk,219385,4,Impossíveis,Piruka
0.622,0.946,7,-3.593,0,0.0534,0.044,0,0.0838,0.336,130.07,audio_features,08dz3ygXyFur6bL7Au8u8J,spotify:track:08dz3ygXyFur6bL7Au8u8J,https://api.spotify.com/v1/tracks/08dz3ygXyFur6bL7Au8u8J,https://api.spotify.com/v1/audio-analysis/08dz3ygXyFur6bL7Au8u8J,166234,4,Over,Playboi Carti
0.647,0.571,0,-7.415,0,0.0695,0.714,0,0.125,0.512,66.672,audio_features,0BKTd08OnDJowXhBzX9Pin,spotify:track:0BKTd08OnDJowXhBzX9Pin,https://api.spotify.com/v1/tracks/0BKTd08OnDJowXhBzX9Pin,https://api.spotify.com/v1/audio-analysis/0BKTd08OnDJowXhBzX9Pin,225788,5,Cura,Jvst Fly
0.363,0.495,0,-7.033,1,0.0302,0.386,2.86e-05,0.115,0.257,74.418,audio_features,0BKspTHUsWVyoCLApF0N8G,spotify:track:0BKspTHUsWVyoCLApF0N8G,https://api.spotify.com/v1/tracks/0BKspTHUsWVyoCLApF0N8G,https://api.spotify.com/v1/audio-analysis/0BKspTHUsWVyoCLApF0N8G,218760,4,Recomeçar,Fernando Daniel
0.633,0.32,10,-11.602,0,0.295,0.893,0.000415,0.125,0.573,95.988,audio_features,0DfMF7TZZsJ4DlIuyXytI7,spotify:track:0DfMF7TZZsJ4DlIuyXytI7,https://api.spotify.com/v1/tracks/0DfMF7TZZsJ4DlIuyXytI7,https://api.spotify.com/v1/audio-analysis/0DfMF7TZZsJ4DlIuyXytI7,117031,4,Morabeza (nananana),Dino d'Santiago
