danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artists
0.932,0.778,10,-3.384,0,0.0638,0.212,0,0.168,0.933,124.996,audio_features,4TnFANpjVwVKWzkxNzIyFH,spotify:track:4TnFANpjVwVKWzkxNzIyFH,https://api.spotify.com/v1/tracks/4TnFANpjVwVKWzkxNzIyFH,https://api.spotify.com/v1/audio-analysis/4TnFANpjVwVKWzkxNzIyFH,188613,4,Ne reviens pas,Gradur;Heuss L'enfoiré
0.776,0.713,4,-6.121,0,0.143,0.525,0,0.306,0.551,127.987,audio_features,5GyyPRvEwdI4wJSUbzxHQv,spotify:track:5GyyPRvEwdI4wJSUbzxHQv,https://api.spotify.com/v1/tracks/5GyyPRvEwdI4wJSUbzxHQv,https://api.spotify.com/v1/audio-analysis/5GyyPRvEwdI4wJSUbzxHQv,193453,4,Blanche,Maes;Booba
0.916,0.57,1,-6.278,1,0.18,0.0286,1.96e-06,0.0851,0.7,110.05,audio_features,2KAkkba3PaYFegfmYpUITv,spotify:track:2KAkkba3PaYFegfmYpUITv,https://api.spotify.com/v1/tracks/2KAkkba3PaYFegfmYpUITv,https://api.spotify.com/v1/audio-analysis/2KAkkba3PaYFegfmYpUITv,169702,4,Dans l'espace (feat. Heuss l'Enfoiré),Gambi;Heuss L'enfoiré
0.836,0.752,10,-5.782,0,0.0612,0.329,0,0.174,0.655,103.001,audio_features,7FZoYJcmCB22N0lAg52nZG,spotify:track:7FZoYJcmCB22N0lAg52nZG,https://api.spotify.com/v1/tracks/7FZoYJcmCB22N0lAg52nZG,https://api.spotify.com/v1/audio-analysis/7FZoYJcmCB22N0lAg52nZG,214653,4,Pirelli,Mister V;Jul
0.875,0.614,3,-7.238,0,0.212,0.69,0,0.114,0.753,119.963,audio_features,74gvfUeukgShMIZ2FH3PTc,spotify:track:74gvfUeukgShMIZ2FH3PTc,https://api.spotify.com/v1/tracks/74gvfUeukgShMIZ2FH3PTc,https://api.spotify.com/v1/audio-analysis/74gvfUeukgShMIZ2FH3PTc,212320,4,6.3,Naps;Ninho
0.687,0.84,2,-4.9,1,0.22,0.0283,1.38e-06,0.082,0.408,195.046,audio_features,11Txm6v3p3x6GKqQ6nMesf,spotify:track:11Txm6v3p3x6GKqQ6nMesf,https://api.spotify.com/v1/tracks/11Txm6v3p3x6GKqQ6nMesf,https://api.spotify.com/v1/audio-analysis/11Txm6v3p3x6GKqQ6nMesf,183405,3,M.I.L.S 3,Ninho
0.875,0.613,3,-7.229,0,0.21,0.688,0,0.114,0.752,119.964,audio_features,6bzxAa3VCiIGzhjsxbHo5q,spotify:track:6bzxAa3VCiIGzhjsxbHo5q,https://api.spotify.com/v1/tracks/6bzxAa3VCiIGzhjsxbHo5q,https://api.spotify.com/v1/audio-analysis/6bzxAa3VCiIGzhjsxbHo5q,212320,4,6.3,Naps;Ninho
0.487,0.398,1,-9.901,0,0.0697,0.835,0,0.12,0.905,149.367,audio_features,5HEtuK03ygUzqca6yfgOYZ,spotify:track:5HEtuK03ygUzqca6yfgOYZ,https://api.spotify.com/v1/tracks/5HEtuK03ygUzqca6yfgOYZ,https://api.spotify.com/v1/audio-analysis/5HEtuK03ygUzqca6yfgOYZ,157766,4,Lettre à une femme,Ninho
0.772,0.687,7,-6.464,1,0.0695,0.0676,0,0.103,0.449,149.857,audio_features,69I4Eynuxdj6LEmpvG56u6,spotify:track:69I4Eynuxdj6LEmpvG56u6,https://api.spotify.com/v1/tracks/69I4Eynuxdj6LEmpvG56u6,https://api.spotify.com/v1/audio-analysis/69I4Eynuxdj6LEmpvG56u6,183560,4,Crois-moi (feat. Ninho),DA Uzi;Ninho
0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,4,Blinding Lights,The Weeknd
